Regn Prefix,Old Prefix,Country Name,Period,Remarks,has_dash,clean_prefix,reg_format
A2-,"VQ-ZE, -ZH",Botswana,1972-,,1,A2,ANY
A3-,,Tonga,,,1,A3,ANY
A4O-,,Oman,1974-,"(Alpha, Four, Oscar)",1,A4O,ANY
A5-,,Bhutan,,,1,A5,ANY
A6-,,United Arab Emirates,1977-,,1,A6,ANY
A7-,,Qatar,1975-,,1,A7,ANY
A9C-,,Bahrain,1977-,,1,A9C,ANY
AP-,,Pakistan,1947-,,1,AP,ANY
B-,,China (Taiwan),1949-,B- (5 digits),1,B,5_DIGITS
B-,XT-,China,1975-,B- (4 digits),1,B,4_CHARS
B-H,VR-H,China (Hong Kong),1997,w.e.f. 01/07/1997,1,BH,ANY
B-K,VR-H,China (Hong Kong),1997,w.e.f. 01/07/1997,1,BK,ANY
B-L,VR-H,China (Hong Kong),1997,w.e.f. 01/07/1997,1,BL,ANY
B-M,CS-M,China (Macau),1999-,w.e.f. 20/12/1999,1,BM,ANY
C-,CF-,Canada,1974-,,1,C,ANY
C2-,,Naura,1971-,,1,C2,ANY
C3-,,Andorra,,,1,C3,ANY
C5-,VP-X,The Gambia,1978-,,1,C5,ANY
C6-,VP-B,Bahamas,1975-,,1,C6,ANY
C9-,"CR-A, CR-B",Mozambique,1975-,,1,C9,ANY
CC-,,Chile,1929-,,1,CC,ANY
CN-,,Morocco,1952-,,1,CN,ANY
CP-,CB-,Bolivia,1954-,,1,CP,ANY
CS-,CR-,Portugal,1929-,,1,CS,ANY
CU-,,Cuba,1945-,,1,CU,ANY
CX,,Christmas Islands,,,0,CX,ANY
CX-,,Uruguay,1929-,,1,CX,ANY
D-,"DM-, DDR-",Germany,1929-,,1,D,ANY
D2-,CR-L,Angola,1975-,,1,D2,ANY
D4-,CR-C,Cape Verde Islands,,,1,D4,ANY
D6-,,Comores,1977-,,1,D6,ANY
DQ-,VQ-F,Fiji,1971-,,1,DQ,ANY
E3-,,Eritrea,,,1,E3,ANY
